,0,1,2
15,"Di Semarang, Menaker Kayuh Sepeda Temui Penerima BSU","Kemnaker,  CNN Indonesia | Sabtu, 04/09/2021 15:07 WIB",https://www.cnnindonesia.com/ekonomi/20210904150356-97-689763/di-semarang-menaker-kayuh-sepeda-temui-penerima-bsu
16,PLN Perpanjang Diskon Tambah Daya hingga 30 September,"CNN Indonesia | Sabtu, 04/09/2021 14:42 WIB",https://www.cnnindonesia.com/ekonomi/20210904141524-85-689740/pln-perpanjang-diskon-tambah-daya-hingga-30-september
17,Antis dan Tiket.com Gelar Long Stay & VACcation Rewards,"Enesis Group,  CNN Indonesia | Sabtu, 04/09/2021 14:33 WIB",https://www.cnnindonesia.com/gaya-hidup/20210904143021-275-689742/antis-dan-tiketcom-gelar-long-stay-vaccation-rewards
18,VIDEO: Mengais Rezeki Dari Kotoran Sapi Dan Naga,"Digital Admin, CNN Indonesia | Sabtu, 04/09/2021 14:30 WIB",https://www.cnnindonesia.com/tv/20210903213022-404-689585/video-mengais-rezeki-dari-kotoran-sapi-dan-naga
19,"China Target 3 Kali Lipat Jual 1,7 Juta Mobil 'Hijau'","nly/has,  CNN Indonesia | Sabtu, 04/09/2021 14:30 WIB",https://www.cnnindonesia.com/teknologi/20210904140942-384-689731/china-target-3-kali-lipat-jual-17-juta-mobil-hijau
20,Polisi Dalami Andil Bandar Kakap di Kasus Sabu Coki Pardede,"CNN Indonesia | Sabtu, 04/09/2021 13:40 WIB",https://www.cnnindonesia.com/nasional/20210904132909-12-689723/polisi-dalami-andil-bandar-kakap-di-kasus-sabu-coki-pardede
21,Kisah Ibu-ibu Setu Babakan Curhat soal Pandemi pada Sandiaga,"Kemenparekraf,  CNN Indonesia | Sabtu, 04/09/2021 13:16 WIB",https://www.cnnindonesia.com/nasional/20210904120642-25-689710/kisah-ibu-ibu-setu-babakan-curhat-soal-pandemi-pada-sandiaga
22,Politikus Senior PDIP Pastikan Andika Perkasa Panglima TNI,"CNN Indonesia | Sabtu, 04/09/2021 13:05 WIB",https://www.cnnindonesia.com/nasional/20210904125507-32-689708/politikus-senior-pdip-pastikan-andika-perkasa-panglima-tni
23,"Filipina Cabut Larangan Masuk dari RI, Tetap Wajib Karantina","CNN Indonesia | Sabtu, 04/09/2021 12:57 WIB",https://www.cnnindonesia.com/internasional/20210904124725-106-689706/filipina-cabut-larangan-masuk-dari-ri-tetap-wajib-karantina
24,"Antisipasi, Pemerintah Ajak Warga Lakukan Skrining Mandiri","KPCPEN,  CNN Indonesia | Sabtu, 04/09/2021 11:52 WIB",https://www.cnnindonesia.com/nasional/20210904114746-25-689677/antisipasi-pemerintah-ajak-warga-lakukan-skrining-mandiri
25,"Bupati Banjarnegara Budhi Sarwono, Tuding RS hingga Dibui KPK","CNN Indonesia | Sabtu, 04/09/2021 11:48 WIB",https://www.cnnindonesia.com/nasional/20210903213640-12-689588/bupati-banjarnegara-budhi-sarwono-tuding-rs-hingga-dibui-kpk
26,Ragam Program Pemerintah Dukung Kebangkitan Industri Kreatif,"KPCPEN,  CNN Indonesia | Sabtu, 04/09/2021 10:59 WIB",https://www.cnnindonesia.com/nasional/20210904105604-25-689643/ragam-program-pemerintah-dukung-kebangkitan-industri-kreatif
27,"Album Pun Aku, Guratan Personal Iwan Fals untuk Keluarga","CNN Indonesia | Sabtu, 04/09/2021 10:52 WIB",https://www.cnnindonesia.com/hiburan/20210903185252-227-689518/album-pun-aku-guratan-personal-iwan-fals-untuk-keluarga
28,Pelesir 'Sultan' China: Glamping bareng Hermes & Beli Pesawat,"CNN Indonesia | Sabtu, 04/09/2021 09:38 WIB",https://www.cnnindonesia.com/gaya-hidup/20210903195856-269-689542/pelesir-sultan-china-glamping-bareng-hermes-beli-pesawat
29,Prokes Jadi Paradigma Baru Standar Pelayanan Kota Bogor,"BNPB,  CNN Indonesia | Sabtu, 04/09/2021 09:30 WIB",https://www.cnnindonesia.com/nasional/20210903135626-25-689344/prokes-jadi-paradigma-baru-standar-pelayanan-kota-bogor
30,Cara Daftar Vaksin Online Lewat JAKI dan VaksinLoket,"CNN Indonesia | Sabtu, 04/09/2021 09:00 WIB",https://www.cnnindonesia.com/teknologi/20210825173514-190-685321/cara-daftar-vaksin-online-lewat-jaki-dan-vaksinloket
31,Tips Lepas dari Jeratan Pinjol,"Yuli Yanna Fauzie,  CNN Indonesia | Sabtu, 04/09/2021 09:00 WIB",https://www.cnnindonesia.com/ekonomi/20210903125051-83-689293/tips-lepas-dari-jeratan-pinjol
32,Sri Mulyani Singgung Pandemi Munculkan Sisi Terburuk Manusia,"CNN Indonesia | Sabtu, 04/09/2021 07:00 WIB",https://www.cnnindonesia.com/ekonomi/20210903174315-532-689470/sri-mulyani-singgung-pandemi-munculkan-sisi-terburuk-manusia
33,Ramai-ramai Tolak Amendemen UUD 1945 dan Jokowi Tiga Periode,"CNN Indonesia | Sabtu, 04/09/2021 06:25 WIB",https://www.cnnindonesia.com/nasional/20210903191137-32-689531/ramai-ramai-tolak-amendemen-uud-1945-dan-jokowi-tiga-periode
34,"Aktif di Media Sosial tapi Masih Kesepian, Wajarkah?","CNN Indonesia | Sabtu, 04/09/2021 06:20 WIB",https://www.cnnindonesia.com/gaya-hidup/20210902045321-284-688606/aktif-di-media-sosial-tapi-masih-kesepian-wajarkah
35,Norwegia Mulai Vaksinasi Anak 12 Tahun,"CNN Indonesia | Sabtu, 04/09/2021 04:50 WIB",https://www.cnnindonesia.com/internasional/20210902194234-134-689055/norwegia-mulai-vaksinasi-anak-12-tahun
36,Vietnam Ingin Longgarkan Lockdown Demi Dongkrak Ekonomi,"CNN Indonesia | Sabtu, 04/09/2021 04:20 WIB",https://www.cnnindonesia.com/internasional/20210903211423-106-689579/vietnam-ingin-longgarkan-lockdown-demi-dongkrak-ekonomi
37,AS Disebut Bakal Pakai Vaksin Pfizer untuk Booster,"CNN Indonesia | Sabtu, 04/09/2021 02:10 WIB",https://www.cnnindonesia.com/internasional/20210904002356-134-689602/as-disebut-bakal-pakai-vaksin-pfizer-untuk-booster
38,RK Buat Ganjil Genap Puncak Bogor usai Endus Euforia Medsos,"CNN Indonesia | Sabtu, 04/09/2021 01:25 WIB",https://www.cnnindonesia.com/nasional/20210903192925-20-689530/rk-buat-ganjil-genap-puncak-bogor-usai-endus-euforia-medsos
39,"Sri Lanka Krisis Pangan, Pemerintah Kontrol Ketat Harga","CNN Indonesia | Sabtu, 04/09/2021 00:25 WIB",https://www.cnnindonesia.com/internasional/20210903205136-113-689568/sri-lanka-krisis-pangan-pemerintah-kontrol-ketat-harga
40,VIDEO: Wacana Sudah Vaksinasi Bisa Nonton di Stadion,"Digital Admin, CNN Indonesia | Jumat, 03/09/2021 21:30 WIB",https://www.cnnindonesia.com/tv/20210903192918-409-689529/video-wacana-sudah-vaksinasi-bisa-nonton-di-stadion
41,Koalisi Sipil Somasi Jokowi-Nadiem Soal Belajar Tatap Muka,"CNN Indonesia | Jumat, 03/09/2021 21:21 WIB",https://www.cnnindonesia.com/nasional/20210903205737-12-689575/koalisi-sipil-somasi-jokowi-nadiem-soal-belajar-tatap-muka
42,Petuah Bijak Pelatih Persib untuk Suporter di Masa Pandemi,"CNN Indonesia | Jumat, 03/09/2021 21:06 WIB",https://www.cnnindonesia.com/olahraga/20210903173254-142-689466/petuah-bijak-pelatih-persib-untuk-suporter-di-masa-pandemi
43,3 Lembaga Negara Bergerak Usai Sertifikat Vaksin Jokowi Bocor,"CNN Indonesia | Jumat, 03/09/2021 20:55 WIB",https://www.cnnindonesia.com/nasional/20210903203546-20-689563/3-lembaga-negara-bergerak-usai-sertifikat-vaksin-jokowi-bocor
44,Ciri-ciri Virus Corona Mu,"CNN Indonesia | Jumat, 03/09/2021 20:48 WIB",https://www.cnnindonesia.com/gaya-hidup/20210903200505-255-689544/ciri-ciri-virus-corona-mu
45,VIDEO: Nakes di Sejumlah Daerah Menagih Janji Insentif,"Digital Admin, CNN Indonesia | Jumat, 03/09/2021 20:45 WIB",https://www.cnnindonesia.com/tv/20210903191125-407-689525/video-nakes-di-sejumlah-daerah-menagih-janji-insentif
46,Cara Batalkan Tiket KA Penumpang di Bawah 12 Tahun,"CNN Indonesia | Jumat, 03/09/2021 20:43 WIB",https://www.cnnindonesia.com/ekonomi/20210903203223-92-689557/cara-batalkan-tiket-ka-penumpang-di-bawah-12-tahun
47,Menkominfo: Masker dan Vaksinasi Kunci Tatanan Hidup Bersama,"KPC-PEN,  CNN Indonesia | Jumat, 03/09/2021 20:38 WIB",https://www.cnnindonesia.com/nasional/20210903203419-25-689560/menkominfo-masker-dan-vaksinasi-kunci-tatanan-hidup-bersama
48,Simpanan di Atas Rp5 M Tumbuh Paling Tinggi di Tengah Pandemi,"CNN Indonesia | Jumat, 03/09/2021 20:26 WIB",https://www.cnnindonesia.com/ekonomi/20210903200655-78-689546/simpanan-di-atas-rp5-m-tumbuh-paling-tinggi-di-tengah-pandemi
49,BPJS Kesehatan Ujicobakan Aplikasi P-Care Vaksinasi Mobile,"BPJS Kesehatan,  CNN Indonesia | Jumat, 03/09/2021 20:22 WIB",https://www.cnnindonesia.com/ekonomi/20210903201943-83-689552/bpjs-kesehatan-ujicobakan-aplikasi-p-care-vaksinasi-mobile
50,Kominfo: Sertifikat Vaksin Jokowi Bocor dari Pedulilindungi,"CNN Indonesia | Jumat, 03/09/2021 20:11 WIB",https://www.cnnindonesia.com/teknologi/20210903200732-185-689547/kominfo-sertifikat-vaksin-jokowi-bocor-dari-pedulilindungi
51,VIDEO: Kim Jong-un Sebut Korut Punya Cara Tangani Covid,"Reuters,  CNN Indonesia | Jumat, 03/09/2021 19:57 WIB",https://www.cnnindonesia.com/internasional/20210903164922-117-689444/video-kim-jong-un-sebut-korut-punya-cara-tangani-covid
52,"Usai Bocor, Kominfo Sebut NIK Jokowi Ada di Situs KPU","CNN Indonesia | Jumat, 03/09/2021 19:52 WIB",https://www.cnnindonesia.com/teknologi/20210903194918-185-689537/usai-bocor-kominfo-sebut-nik-jokowi-ada-di-situs-kpu
53,"VIDEO: Insentif Nakes Nunggak, Mendagri Tegur Kepala Daerah","Digital Admin, CNN Indonesia | Jumat, 03/09/2021 19:45 WIB",https://www.cnnindonesia.com/tv/20210903182847-407-689507/video-insentif-nakes-nunggak-mendagri-tegur-kepala-daerah
54,Menaker Ida: Pemerintah Perluas Cakupan Peserta Jamsostek,"Kemnaker,  CNN Indonesia | Jumat, 03/09/2021 19:36 WIB",https://www.cnnindonesia.com/ekonomi/20210903193218-92-689535/menaker-ida-pemerintah-perluas-cakupan-peserta-jamsostek
55,"Jadi Penerang di Masa Gelap, Iwan Fals Rilis Album Baru","CNN Indonesia | Jumat, 03/09/2021 19:29 WIB",https://www.cnnindonesia.com/hiburan/20210903182804-227-689506/jadi-penerang-di-masa-gelap-iwan-fals-rilis-album-baru
56,"VIDEO: PTM Dimulai, Seragam Sekolah Laris Manis & Makin Mahal","Digital Admin, CNN Indonesia | Jumat, 03/09/2021 19:00 WIB",https://www.cnnindonesia.com/tv/20210903174858-407-689480/video-ptm-dimulai-seragam-sekolah-laris-manis-makin-mahal
57,"Pabrik di Vietnam Tutup, MU Kehabisan Stok Jersey Ronaldo","CNN Indonesia | Jumat, 03/09/2021 18:54 WIB",https://www.cnnindonesia.com/olahraga/20210903183732-142-689515/pabrik-di-vietnam-tutup-mu-kehabisan-stok-jersey-ronaldo
58,"Rangkuman Covid: Bocor Sertifikat Vaksin Jokowi, Pasien Turun","CNN Indonesia | Jumat, 03/09/2021 18:53 WIB",https://www.cnnindonesia.com/nasional/20210903182250-20-689504/rangkuman-covid-bocor-sertifikat-vaksin-jokowi-pasien-turun
59,Kominfo Ungkap Alasan Sertifikat Vaksin Jokowi Bocor,"CNN Indonesia | Jumat, 03/09/2021 18:36 WIB",https://www.cnnindonesia.com/teknologi/20210903183336-185-689508/kominfo-ungkap-alasan-sertifikat-vaksin-jokowi-bocor
60,"Kasus Covid Jabar Tertinggi, Jateng Catat Kematian Terbanyak","CNN Indonesia | Jumat, 03/09/2021 18:30 WIB",https://www.cnnindonesia.com/nasional/20210903181655-20-689499/kasus-covid-jabar-tertinggi-jateng-catat-kematian-terbanyak
61,Buya Syafii soal Baliho: Syahwat Kekuasaan Terlalu Menonjol,"CNN Indonesia | Jumat, 03/09/2021 18:23 WIB",https://www.cnnindonesia.com/nasional/20210903180323-32-689491/buya-syafii-soal-baliho-syahwat-kekuasaan-terlalu-menonjol
62,Bayar Pajak Kini Makin Mudah Pakai DANA,"DANA,  CNN Indonesia | Jumat, 03/09/2021 18:23 WIB",https://www.cnnindonesia.com/ekonomi/20210903181156-97-689495/bayar-pajak-kini-makin-mudah-pakai-dana
63,"Dana Asing Rp11,63 T Masuk ke RI per Awal September","CNN Indonesia | Jumat, 03/09/2021 18:12 WIB",https://www.cnnindonesia.com/ekonomi/20210903175137-78-689487/dana-asing-rp1163-t-masuk-ke-ri-per-awal-september
64,Nadiem Sebut PJJ Membahayakan Jika Tetap Berlanjut,"CNN Indonesia | Jumat, 03/09/2021 17:56 WIB",https://www.cnnindonesia.com/nasional/20210903174044-20-689484/nadiem-sebut-pjj-membahayakan-jika-tetap-berlanjut
65,Bank Bisa Didenda Rp5 M Bila Kredit UMKM di Bawah 25 Persen,"CNN Indonesia | Jumat, 03/09/2021 17:51 WIB",https://www.cnnindonesia.com/ekonomi/20210903172643-78-689469/bank-bisa-didenda-rp5-m-bila-kredit-umkm-di-bawah-25-persen
66,Studi: Vaksin Lengkap Kurangi Risiko Gejala Long Covid,"CNN Indonesia | Jumat, 03/09/2021 17:31 WIB",https://www.cnnindonesia.com/gaya-hidup/20210903144014-255-689381/studi-vaksin-lengkap-kurangi-risiko-gejala-long-covid
67,Dokter Tak Percaya Covid Klaim Diperiksa Polisi hingga TNI,"CNN Indonesia | Jumat, 03/09/2021 17:30 WIB",https://www.cnnindonesia.com/nasional/20210903154710-12-689409/dokter-tak-percaya-covid-klaim-diperiksa-polisi-hingga-tni
68,"Sertifikat Vaksin Jokowi Bocor, PeduliLindungi Diklaim Aman","CNN Indonesia | Jumat, 03/09/2021 17:15 WIB",https://www.cnnindonesia.com/teknologi/20210903144136-185-689387/sertifikat-vaksin-jokowi-bocor-pedulilindungi-diklaim-aman
69,"Kasus Positif Bertambah 7.797, Sembuh 15.544","CNN Indonesia | Jumat, 03/09/2021 17:08 WIB",https://www.cnnindonesia.com/nasional/20210903131630-20-689297/kasus-positif-bertambah-7797-sembuh-15544
70,Menkominfo hingga BSSN Saling Lempar Bocor Data Vaksin Jokowi,"CNN Indonesia | Jumat, 03/09/2021 16:20 WIB",https://www.cnnindonesia.com/nasional/20210903155341-20-689421/menkominfo-hingga-bssn-saling-lempar-bocor-data-vaksin-jokowi
71,Kasus Covid-19 RI Turun Beri Rupiah 'Tenaga' ke Rp14.262,"CNN Indonesia | Jumat, 03/09/2021 16:00 WIB",https://www.cnnindonesia.com/ekonomi/20210903155031-78-689419/kasus-covid-19-ri-turun-beri-rupiah-tenaga-ke-rp14262
72,Robert Alberts: Persib Adalah Tim yang Kuat di Semua Lini,"CNN Indonesia | Jumat, 03/09/2021 15:55 WIB",https://www.cnnindonesia.com/olahraga/20210903153516-142-689404/robert-alberts-persib-adalah-tim-yang-kuat-di-semua-lini
73,Mengenal Virus Corona Varian Mu  yang Disebut Kebal Vaksin,"CNN Indonesia | Jumat, 03/09/2021 15:33 WIB",https://www.cnnindonesia.com/teknologi/20210902101833-199-688730/mengenal-virus-corona-varian-mu-yang-disebut-kebal-vaksin
74,In The SOOP BTS Musim Kedua Tayang Oktober 2021,"CNN Indonesia | Jumat, 03/09/2021 15:15 WIB",https://www.cnnindonesia.com/hiburan/20210902154605-227-688897/in-the-soop-bts-musim-kedua-tayang-oktober-2021
75,"Jelang Brasil vs Argentina, Neymar vs Messi yang Kurang Seru","CNN Indonesia | Jumat, 03/09/2021 15:04 WIB",https://www.cnnindonesia.com/olahraga/20210903141708-142-689356/jelang-brasil-vs-argentina-neymar-vs-messi-yang-kurang-seru
76,Politikus PDIP Effendi Simbolon: Andika Perkasa Panglima TNI,"CNN Indonesia | Jumat, 03/09/2021 14:49 WIB",https://www.cnnindonesia.com/nasional/20210903143959-32-689372/politikus-pdip-effendi-simbolon-andika-perkasa-panglima-tni
77,"Tolak Vaksin, Kim Jong-un Tangani Covid dengan Cara Sendiri","CNN Indonesia | Jumat, 03/09/2021 14:43 WIB",https://www.cnnindonesia.com/internasional/20210903105927-113-689219/tolak-vaksin-kim-jong-un-tangani-covid-dengan-cara-sendiri
78,Adhi Karya Vaksin 1.500 Pekerja Konstruksi di Jakarta,"CNN Indonesia | Jumat, 03/09/2021 14:18 WIB",https://www.cnnindonesia.com/ekonomi/20210903133428-92-689319/adhi-karya-vaksin-1500-pekerja-konstruksi-di-jakarta
79,Forum Rektor Gelar Rapat Bahas Kemungkinan Kuliah Tatap Muka,"CNN Indonesia | Jumat, 03/09/2021 14:16 WIB",https://www.cnnindonesia.com/nasional/20210903133139-20-689316/forum-rektor-gelar-rapat-bahas-kemungkinan-kuliah-tatap-muka
80,IDI Enrekang soal Dokter Tak Percaya Covid: Sangat Meresahkan,"CNN Indonesia | Jumat, 03/09/2021 14:11 WIB",https://www.cnnindonesia.com/nasional/20210903133946-12-689337/idi-enrekang-soal-dokter-tak-percaya-covid-sangat-meresahkan
81,BNPB Harap Gerakan Mobil Masker Diadaptasi BPBD,"BNPB,  CNN Indonesia | Jumat, 03/09/2021 14:05 WIB",https://www.cnnindonesia.com/nasional/20210903140406-25-689349/bnpb-harap-gerakan-mobil-masker-diadaptasi-bpbd
82,Bursa Saham Jepang Pecah Rekor Usai PM Suga Tidak Ikut Pemilu,"CNN Indonesia | Jumat, 03/09/2021 13:51 WIB",https://www.cnnindonesia.com/ekonomi/20210903133504-92-689335/bursa-saham-jepang-pecah-rekor-usai-pm-suga-tidak-ikut-pemilu
83,NU-Muhammadiyah Tolak Aturan Nadiem Soal Syarat Penerima BOS,"CNN Indonesia | Jumat, 03/09/2021 13:50 WIB",https://www.cnnindonesia.com/nasional/20210903132151-20-689301/nu-muhammadiyah-tolak-aturan-nadiem-soal-syarat-penerima-bos
84,Nama Bayi Paling Populer Tahun 2021: Olivia sampai Amelia,"CNN Indonesia | Jumat, 03/09/2021 13:25 WIB",https://www.cnnindonesia.com/gaya-hidup/20210902115211-277-688758/nama-bayi-paling-populer-tahun-2021-olivia-sampai-amelia
85,Kemenag Sebut Pesantren dan Madrasah Siap Gelar PTM Terbatas,"CNN Indonesia | Jumat, 03/09/2021 13:08 WIB",https://www.cnnindonesia.com/nasional/20210903125706-20-689280/kemenag-sebut-pesantren-dan-madrasah-siap-gelar-ptm-terbatas
86,Kemendag Nilai Kenaikan Harga Komoditas Bawa RI Keluar Resesi,"CNN Indonesia | Jumat, 03/09/2021 13:00 WIB",https://www.cnnindonesia.com/ekonomi/20210903121353-92-689256/kemendag-nilai-kenaikan-harga-komoditas-bawa-ri-keluar-resesi
87,Kemnaker Ajak Pemerintah Daerah Konsisten Atasi Pengangguran,"Kemnaker,  CNN Indonesia | Jumat, 03/09/2021 12:59 WIB",https://www.cnnindonesia.com/ekonomi/20210903120739-97-689255/kemnaker-ajak-pemerintah-daerah-konsisten-atasi-pengangguran
88,VIDEO: Warga Afghanistan Menumpuk di Perbatasan Pakistan,"Reuters,  CNN Indonesia | Jumat, 03/09/2021 12:45 WIB",https://www.cnnindonesia.com/internasional/20210903104413-117-689213/video-warga-afghanistan-menumpuk-di-perbatasan-pakistan
89,"Anies Sebut Masih Ada 2,7 Juta Warga Jakarta Belum Divaksin","CNN Indonesia | Jumat, 03/09/2021 12:41 WIB",https://www.cnnindonesia.com/nasional/20210903123759-20-689275/anies-sebut-masih-ada-27-juta-warga-jakarta-belum-divaksin
90,"Bocor Sertifikat Vaksin Jokowi, Menkominfo Lempar ke Kemenkes","eks,  CNN Indonesia | Jumat, 03/09/2021 12:27 WIB",https://www.cnnindonesia.com/teknologi/20210903122547-185-689261/bocor-sertifikat-vaksin-jokowi-menkominfo-lempar-ke-kemenkes
91,Deretan Pernyataan Jokowi Tolak Tambah Masa Jabatan,"CNN Indonesia | Jumat, 03/09/2021 12:15 WIB",https://www.cnnindonesia.com/nasional/20210903114507-32-689239/deretan-pernyataan-jokowi-tolak-tambah-masa-jabatan
92,"Ganjil Genap Tol Bandung, Belum Banyak Mobil Diputar Balik","CNN Indonesia | Jumat, 03/09/2021 12:09 WIB",https://www.cnnindonesia.com/nasional/20210903120357-20-689253/ganjil-genap-tol-bandung-belum-banyak-mobil-diputar-balik
93,"Suga Tak Ikut Pemilu Lagi, Jepang Akan Punya PM Baru","CNN Indonesia | Jumat, 03/09/2021 11:53 WIB",https://www.cnnindonesia.com/internasional/20210903112150-113-689225/suga-tak-ikut-pemilu-lagi-jepang-akan-punya-pm-baru
94,"Velodrome Rawamangun, Arena Olahraga Terbaik di Timur Jakarta","CNN Indonesia | Jumat, 03/09/2021 11:50 WIB",https://www.cnnindonesia.com/gaya-hidup/20210903105050-269-689217/velodrome-rawamangun-arena-olahraga-terbaik-di-timur-jakarta
95,"Politik Lempar Kaus Jokowi, Jaga Citra & Misi Tambah Jabatan","CNN Indonesia | Jumat, 03/09/2021 11:47 WIB",https://www.cnnindonesia.com/nasional/20210903112114-32-689224/politik-lempar-kaus-jokowi-jaga-citra-misi-tambah-jabatan
96,Pemerintah Bakal Pasok Oksigen Industri ke Luar Jawa-Bali,"CNN Indonesia | Jumat, 03/09/2021 11:33 WIB",https://www.cnnindonesia.com/ekonomi/20210903105635-92-689216/pemerintah-bakal-pasok-oksigen-industri-ke-luar-jawa-bali
97,Cerita Kru Penyalin Cahaya Syuting 20 Hari kala Pandemi,"CNN Indonesia | Jumat, 03/09/2021 11:30 WIB",https://www.cnnindonesia.com/hiburan/20210902201532-220-689070/cerita-kru-penyalin-cahaya-syuting-20-hari-kala-pandemi
98,Polisi Selidiki Surat Dokter di Enrekang Tak Percaya Covid,"CNN Indonesia | Jumat, 03/09/2021 11:25 WIB",https://www.cnnindonesia.com/nasional/20210903110945-12-689222/polisi-selidiki-surat-dokter-di-enrekang-tak-percaya-covid
99,Studi Ungkap Polusi Udara Perpendek Umur Warga India 9 Tahun,"Reuters,  CNN Indonesia | Jumat, 03/09/2021 10:21 WIB",https://www.cnnindonesia.com/teknologi/20210903094233-199-689180/studi-ungkap-polusi-udara-perpendek-umur-warga-india-9-tahun
100,"Taliban Klaim China Tetap Buka Kedubes, Akan Kirim Bantuan","CNN Indonesia | Jumat, 03/09/2021 10:10 WIB",https://www.cnnindonesia.com/internasional/20210903092510-113-689171/taliban-klaim-china-tetap-buka-kedubes-akan-kirim-bantuan
101,Kisah Warga Terisolasi di Kaltim dan NTT Dapat Vaksin Covid,"CNN Indonesia | Jumat, 03/09/2021 10:03 WIB",https://www.cnnindonesia.com/nasional/20210903083640-20-689161/kisah-warga-terisolasi-di-kaltim-dan-ntt-dapat-vaksin-covid
102,Indonesia Terima 500 Ribu Vaksin AstraZeneca Hibah Australia,"KPCPEN,  CNN Indonesia | Jumat, 03/09/2021 09:53 WIB",https://www.cnnindonesia.com/nasional/20210903094932-25-689184/indonesia-terima-500-ribu-vaksin-astrazeneca-hibah-australia
103,AirAsia Tunda Penerbangan Hingga 30 September,"CNN Indonesia | Jumat, 03/09/2021 09:43 WIB",https://www.cnnindonesia.com/ekonomi/20210903093530-92-689177/airasia-tunda-penerbangan-hingga-30-september
104,Ganjil Genap Tol Bandung Hanya untuk Kendaraan Selain Pelat D,"CNN Indonesia | Jumat, 03/09/2021 09:37 WIB",https://www.cnnindonesia.com/nasional/20210903092849-20-689176/ganjil-genap-tol-bandung-hanya-untuk-kendaraan-selain-pelat-d
